StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Color,Correct_Rad#,Correct_AproxColor,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
139,New,New,N/A,N/A,N/A,3.47,N/A,10:17:02.722290,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
172,Old,Old,315.0,87,['Pink'],2.22,10:14:02.671492,10:17:07.694509,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
229,New,Old,88.2,24,['Green'],1.24,10:15:17.671590,10:17:11.415338,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
9,New,New,N/A,N/A,N/A,1.22,N/A,10:17:14.151860,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
225,New,Old,109.8,30,['Green'],1.0,10:15:32.671508,10:17:16.871441,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
214,Old,Old,99.0,27,['Green'],1.08,10:13:42.666146,10:17:19.374222,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
105,New,Old,131.4,36,['Green'],0.82,10:16:42.665789,10:17:21.960443,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
48,New,New,N/A,N/A,N/A,0.77,N/A,10:17:24.279695,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
22,New,New,N/A,N/A,N/A,0.67,N/A,10:17:26.548888,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
99,Old,Old,16.2,4,"['Red', 'Orange']",0.82,10:15:12.666009,10:17:28.717967,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
31,New,Old,185.4,51,"['Aqua', 'Blue']",0.84,10:15:02.671581,10:17:31.037233,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
230,Old,Old,59.4,16,"['Yellow', 'Green']",1.33,10:15:42.666076,10:17:33.373157,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
29,New,New,N/A,N/A,N/A,0.85,N/A,10:17:36.209618,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
215,New,Old,250.2,69,['Blue'],0.9,10:16:47.671702,10:17:38.562249,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
194,New,Old,289.8,80,"['Purple', 'Pink']",0.94,10:14:27.665956,10:17:40.965055,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
219,Old,Old,293.4,81,"['Purple', 'Pink']",0.85,10:14:22.677083,10:17:43.400955,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
69,Old,Old,253.8,70,['Blue'],0.94,10:13:22.677331,10:17:45.753458,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
55,New,New,N/A,N/A,N/A,0.92,N/A,10:17:48.189637,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
88,New,Old,41.4,11,['Yellow'],1.57,10:13:12.666081,10:17:50.609089,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
233,New,Old,19.8,5,"['Red', 'Orange']",1.12,10:13:52.677063,10:17:53.678691,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
232,New,Old,300.6,83,['Pink'],1.14,10:16:52.677256,10:17:56.298642,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
115,New,New,N/A,N/A,N/A,0.88,N/A,10:17:58.934897,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
14,New,New,N/A,N/A,N/A,0.84,N/A,10:18:01.320883,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
28,Old,Old,286.2,79,"['Purple', 'Pink']",0.77,10:12:57.665866,10:18:03.656813,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
112,Old,Old,117.0,32,['Green'],0.87,10:15:37.677469,10:18:05.926001,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
180,Old,Old,124.2,34,['Green'],0.87,10:15:07.677134,10:18:08.295318,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
241,Old,Old,48.6,13,['Yellow'],0.79,10:16:12.666140,10:18:10.664616,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
107,New,New,N/A,N/A,N/A,0.87,N/A,10:18:12.950491,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
218,New,Old,52.2,14,['Yellow'],1.25,10:13:27.665900,10:18:15.319783,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
25,New,Old,243.0,67,['Blue'],1.19,10:13:02.671446,10:18:18.072783,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
96,New,New,N/A,N/A,N/A,0.79,N/A,10:18:20.759192,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
217,Old,Old,138.6,38,"['Green', 'Aqua']",1.5,10:13:32.671634,10:18:23.045114,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
27,New,Old,257.4,71,['Blue'],1.08,10:14:12.665906,10:18:26.048455,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
173,New,New,N/A,N/A,N/A,0.9,N/A,10:18:28.634699,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
130,New,Old,55.8,15,['Yellow'],0.93,10:14:37.677111,10:18:31.037280,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
65,New,New,N/A,N/A,N/A,0.79,N/A,10:18:33.473335,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
83,New,Old,279.0,77,"['Purple', 'Pink']",0.64,10:13:57.665923,10:18:35.759227,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
75,New,New,N/A,N/A,N/A,1.04,N/A,10:18:37.894891,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
20,New,Old,181.8,50,"['Aqua', 'Blue']",0.7,10:15:22.677186,10:18:40.431088,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
52,New,New,N/A,N/A,N/A,0.63,N/A,10:18:42.633531,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
185,New,New,N/A,N/A,N/A,0.68,N/A,10:18:44.769217,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
164,Old,New,N/A,N/A,N/A,1.58,N/A,10:18:46.955057,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
147,New,Old,189.0,52,"['Aqua', 'Blue']",0.87,10:16:17.672101,10:18:50.041829,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
35,New,Old,322.2,89,['Pink'],0.74,10:14:17.671510,10:18:52.411103,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
18,New,Old,23.4,6,"['Orange', 'Yellow']",0.73,10:16:37.677194,10:18:54.646934,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
78,New,Old,358.2,99,"['Red', 'Orange']",0.69,10:12:52.660719,10:18:56.882634,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
34,New,Old,163.8,45,"['Green', 'Aqua']",0.89,10:14:42.666248,10:18:59.068564,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
160,New,New,N/A,N/A,N/A,0.63,N/A,10:19:01.454452,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
186,New,Old,275.4,76,['Purple'],0.65,10:14:52.677118,10:19:03.590043,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
238,New,Old,225.0,62,"['Aqua', 'Blue']",0.72,10:16:22.677272,10:19:05.742120,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
94,New,Old,160.2,44,"['Green', 'Aqua']",0.62,10:15:47.671620,10:19:07.961871,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
98,Old,Old,45.0,12,['Yellow'],1.09,10:13:37.677012,10:19:10.080673,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
121,New,New,N/A,N/A,N/A,0.99,N/A,10:19:12.666939,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
133,New,New,N/A,N/A,N/A,0.87,N/A,10:19:15.153054,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
7,New,New,N/A,N/A,N/A,0.74,N/A,10:19:17.522357,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
242,Old,Old,145.8,40,"['Green', 'Aqua']",1.09,10:13:17.671450,10:19:19.758270,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
193,Old,Old,264.6,73,"['Blue', 'Purple']",0.97,10:15:27.666074,10:19:22.344296,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
90,Old,Old,70.2,19,"['Yellow', 'Green']",1.1,10:15:52.677202,10:19:24.813820,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
63,New,New,N/A,N/A,N/A,0.85,N/A,10:19:27.416732,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
6,New,Old,235.8,65,['Blue'],0.85,10:14:47.671873,10:19:29.769348,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
149,New,Old,63.0,17,"['Yellow', 'Green']",0.75,10:16:07.677293,10:19:32.121928,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
198,New,New,N/A,N/A,N/A,1.02,N/A,10:19:34.374399,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
106,Old,Old,120.6,33,['Green'],1.25,10:13:07.676983,10:19:36.893870,015,2019_Aug_09_1009,PACOCO,3.1.5,59.723186111263004,
