StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Image_x,Correct_Image_y,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
56,New,Old,0.78,0.39,1.49,11:57:13.561138,11:59:02.073411,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
59,New,New,N/A,N/A,0.78,N/A,11:59:05.058296,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
224,New,New,N/A,N/A,0.74,N/A,11:59:07.343757,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
199,Old,Old,-0.78,0.234,0.75,11:57:48.569575,11:59:09.578175,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
53,Old,Old,0.78,0.078,1.13,11:58:13.571239,11:59:11.831371,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
99,Old,New,N/A,N/A,0.78,N/A,11:59:14.464453,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
88,New,New,N/A,N/A,1.1,N/A,11:59:16.751409,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
190,Old,Old,0.26,0.39,0.68,11:58:28.565425,11:59:19.351715,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
48,Old,Old,-0.08667,-0.234,1.42,11:56:03.559864,11:59:21.538471,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
63,Old,Old,-0.26,0.234,2.67,11:54:58.563134,11:59:24.456202,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
91,New,New,N/A,N/A,2.5,N/A,11:59:28.625821,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
21,New,New,N/A,N/A,1.03,N/A,11:59:32.629960,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
49,New,Old,-0.26,0.078,1.05,11:55:58.556330,11:59:35.163642,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
71,New,Old,0.08667,0.39,1.67,11:58:38.555770,11:59:37.715629,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
47,New,Old,0.26,0.078,0.84,11:56:43.556283,11:59:40.883526,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
210,Old,Old,0.08667,0.234,0.83,11:58:08.567595,11:59:43.219763,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
28,New,New,N/A,N/A,0.94,N/A,11:59:45.553742,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
80,Old,Old,-0.78,-0.078,1.49,11:58:43.558867,11:59:47.989584,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
158,Old,Old,0.43333,-0.39,1.95,11:54:53.560147,11:59:50.974167,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
43,Old,Old,-0.08667,0.39,0.75,11:58:33.557070,11:59:54.426985,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
217,New,Old,0.60667,0.39,1.3,11:55:13.557121,11:59:56.680382,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
93,Old,Old,-0.60667,0.234,1.02,11:55:43.562476,11:59:59.481075,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
100,New,Old,-0.26,-0.234,1.32,11:55:08.570645,12:00:01.999890,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
162,New,Old,0.60667,-0.39,1.44,11:57:33.558848,12:00:04.817686,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
30,New,Old,0.26,-0.078,1.5,11:56:48.559648,12:00:07.754045,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
208,New,Old,-0.60667,-0.234,1.69,11:55:53.557986,12:00:10.754750,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
168,Old,Old,0.26,-0.39,1.12,11:58:23.561066,12:00:13.941045,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
105,Old,Old,0.60667,0.078,3.38,11:56:18.571225,12:00:16.561517,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
132,New,New,N/A,N/A,1.47,N/A,12:00:21.448248,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
107,New,Old,0.60667,0.234,0.87,11:57:38.561940,12:00:24.415298,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
74,New,New,N/A,N/A,1.13,N/A,12:00:26.785596,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
66,Old,Old,-0.08667,0.234,0.9,11:58:03.563436,12:00:29.419114,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
26,Old,New,N/A,N/A,1.4,N/A,12:00:31.821833,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
159,Old,Old,0.43333,0.078,1.67,11:55:38.558528,12:00:34.723059,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
123,New,Old,-0.78,-0.39,1.67,11:55:18.561519,12:00:37.892541,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
20,New,Old,0.43333,0.39,1.12,11:58:18.558407,12:00:41.060242,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
82,Old,Old,0.08667,-0.39,1.32,11:55:48.566502,12:00:43.679471,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
136,New,Old,-0.78,0.078,2.72,11:55:33.571683,12:00:46.499565,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
229,Old,New,N/A,N/A,1.74,N/A,12:00:50.717023,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
179,New,New,N/A,N/A,0.98,N/A,12:00:53.953512,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
86,Old,Old,-0.26,-0.39,1.02,11:56:33.565089,12:00:56.440123,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
228,Old,Old,0.78,-0.234,1.9,11:54:48.556670,12:00:58.957644,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
209,Old,Old,-0.43333,0.234,1.18,11:57:43.565606,12:01:02.360146,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
83,New,New,N/A,N/A,1.09,N/A,12:01:05.044776,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
202,New,New,N/A,N/A,0.85,N/A,12:01:07.631772,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
81,New,Old,0.60667,-0.078,0.8,11:56:38.568643,12:01:09.982403,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
92,New,New,N/A,N/A,1.31,N/A,12:01:12.273603,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
33,Old,Old,-0.78,-0.234,0.87,11:57:53.556541,12:01:15.086852,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
124,New,New,N/A,N/A,6.37,N/A,12:01:17.456403,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
115,New,Old,-0.43333,-0.39,1.6,11:58:48.562998,12:01:25.328766,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
201,New,Old,0.60667,-0.234,0.78,11:57:08.556921,12:01:28.431558,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
215,New,New,N/A,N/A,1.42,N/A,12:01:30.715367,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
184,New,Old,-0.60667,-0.39,1.07,11:56:13.567469,12:01:33.635644,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
194,Old,Old,0.78,-0.078,0.82,11:57:23.567946,12:01:36.205261,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
172,Old,Old,-0.43333,-0.234,0.95,11:55:28.567996,12:01:38.521926,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
106,Old,Old,-0.78,0.39,0.89,11:57:28.555413,12:01:40.973341,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
6,Old,Old,0.78,-0.39,0.98,11:57:18.564855,12:01:43.359421,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
65,New,Old,0.78,0.234,0.87,11:57:03.570624,12:01:45.843374,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
10,New,Old,-0.43333,-0.078,0.93,11:56:53.563009,12:01:48.213095,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
186,Old,New,N/A,N/A,0.5,N/A,12:01:50.646541,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
207,New,Old,-0.08667,-0.39,1.05,11:56:23.558404,12:01:52.649564,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
87,Old,Old,-0.60667,0.078,0.92,11:57:58.560431,12:01:55.200796,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
211,New,New,N/A,N/A,0.87,N/A,12:01:57.619755,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
31,New,New,N/A,N/A,2.22,N/A,12:01:59.987892,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
160,New,New,N/A,N/A,0.8,N/A,12:02:03.706989,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
140,New,Old,-0.26,-0.078,0.69,11:56:58.566385,12:02:06.008567,009,2019_Aug_07_1153,PACOLO,3.1.5,60.697970577004426,
