StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Image_x,Correct_Image_y,Correct_Color,Correct_Rad#,Correct_AproxColor,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
10,Old,Old,-0.60667,-0.39,293.4,81,"['Purple', 'Pink']",3.47,10:16:08.920187,10:17:10.564677,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
40,Old,Old,0.43333,-0.234,81.0,22,['Green'],1.27,10:14:03.912464,10:17:15.534571,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
183,Old,Old,-0.43333,-0.39,318.6,88,['Pink'],1.32,10:13:03.919854,10:17:18.304089,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
77,New,Old,-0.43333,0.234,142.2,39,"['Green', 'Aqua']",2.44,10:14:28.914078,10:17:21.122107,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
27,New,New,N/A,N/A,N/A,N/A,N/A,1.42,N/A,10:17:25.058717,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
166,New,New,N/A,N/A,N/A,N/A,N/A,1.02,N/A,10:17:27.977487,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
52,Old,Old,-0.08667,0.39,307.8,85,['Pink'],1.05,10:16:28.917994,10:17:30.495999,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
178,Old,Old,0.60667,-0.39,124.2,34,['Green'],0.85,10:14:18.907124,10:17:33.048783,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
113,New,New,N/A,N/A,N/A,N/A,N/A,1.42,N/A,10:17:35.398871,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
103,Old,Old,0.43333,-0.39,171.0,47,['Aqua'],1.03,10:16:18.910701,10:17:38.318561,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
